EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KURU LANSI-AURE, FINLAND (STAID: 714)
Blended and updated with sources:43484 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   714, 43484,19590101,  -27,    0
   714, 43484,19590102,  -43,    0
   714, 43484,19590103,  -16,    0
   714, 43484,19590104,   -3,    0
   714, 43484,19590105,  -26,    0
   714, 43484,19590106,  -39,    0
   714, 43484,19590107,  -47,    0
   714, 43484,19590108,  -67,    0
   714, 43484,19590109,  -59,    0
   714, 43484,19590110,  -26,    0
   714, 43484,19590111,  -22,    0
   714, 43484,19590112,  -50,    0
   714, 43484,19590113,  -62,    0
   714, 43484,19590114,  -82,    0
   714, 43484,19590115, -127,    0
   714, 43484,19590116, -166,    0
   714, 43484,19590117, -183,    0
   714, 43484,19590118, -204,    0
   714, 43484,19590119, -206,    0
   714, 43484,19590120, -171,    0
   714, 43484,19590121, -124,    0
   714, 43484,19590122, -139,    0
   714, 43484,19590123,  -80,    0
   714, 43484,19590124,  -39,    0
   714, 43484,19590125, -126,    0
   714, 43484,19590126, -110,    0
   714, 43484,19590127,  -31,    0
   714, 43484,19590128,  -23,    0
   714, 43484,19590129,  -29,    0
   714, 43484,19590130,  -33,    0
   714, 43484,19590131,  -61,    0
   714, 43484,19590201,  -89,    0
   714, 43484,19590202,  -59,    0
   714, 43484,19590203,  -43,    0
   714, 43484,19590204,    8,    0
   714, 43484,19590205,  -11,    0
   714, 43484,19590206,  -39,    0
   714, 43484,19590207,  -28,    0
   714, 43484,19590208,  -45,    0
   714, 43484,19590209,  -47,    0
   714, 43484,19590210,  -62,    0
   714, 43484,19590211,  -62,    0
   714, 43484,19590212,  -59,    0
   714, 43484,19590213,  -49,    0
   714, 43484,19590214,  -46,    0
   714, 43484,19590215,  -45,    0
   714, 43484,19590216,  -33,    0
   714, 43484,19590217,    1,    0
   714, 43484,19590218,   13,    0
   714, 43484,19590219,    2,    0
   714, 43484,19590220,  -17,    0
   714, 43484,19590221,  -49,    0
   714, 43484,19590222,  -70,    0
   714, 43484,19590223,  -59,    0
   714, 43484,19590224,  -27,    0
   714, 43484,19590225,  -26,    0
   714, 43484,19590226,    4,    0
   714, 43484,19590227,   11,    0
   714, 43484,19590228,    8,    0
   714, 43484,19590301,    9,    0
   714, 43484,19590302,    8,    0
   714, 43484,19590303,   12,    0
   714, 43484,19590304,    6,    0
   714, 43484,19590305,   11,    0
   714, 43484,19590306,    3,    0
   714, 43484,19590307,   10,    0
   714, 43484,19590308,  -16,    0
   714, 43484,19590309,  -33,    0
   714, 43484,19590310,  -20,    0
   714, 43484,19590311,  -36,    0
   714, 43484,19590312,  -26,    0
   714, 43484,19590313,  -35,    0
   714, 43484,19590314,  -28,    0
   714, 43484,19590315,  -39,    0
   714, 43484,19590316,  -10,    0
   714, 43484,19590317,   -3,    0
   714, 43484,19590318,   17,    0
   714, 43484,19590319,    0,    0
   714, 43484,19590320,  -19,    0
   714, 43484,19590321,    0,    0
   714, 43484,19590322,   14,    0
   714, 43484,19590323,    6,    0
   714, 43484,19590324,   13,    0
   714, 43484,19590325,   12,    0
   714, 43484,19590326,   20,    0
   714, 43484,19590327,   20,    0
   714, 43484,19590328,  -29,    0
   714, 43484,19590329,  -26,    0
   714, 43484,19590330,  -40,    0
   714, 43484,19590331,  -35,    0
   714, 43484,19590401,   -9,    0
   714, 43484,19590402,    5,    0
   714, 43484,19590403,    7,    0
   714, 43484,19590404,   15,    0
   714, 43484,19590405,   15,    0
   714, 43484,19590406,   29,    0
   714, 43484,19590407,   22,    0
   714, 43484,19590408,  -23,    0
   714, 43484,19590409,  -43,    0
   714, 43484,19590410,  -17,    0
   714, 43484,19590411,  -23,    0
   714, 43484,19590412,    9,    0
   714, 43484,19590413,    5,    0
   714, 43484,19590414,   27,    0
   714, 43484,19590415,   90,    0
   714, 43484,19590416,   90,    0
   714, 43484,19590417,   79,    0
   714, 43484,19590418,    9,    0
   714, 43484,19590419,  -15,    0
   714, 43484,19590420,  -11,    0
   714, 43484,19590421,  -19,    0
   714, 43484,19590422,  -24,    0
   714, 43484,19590423,  -17,    0
   714, 43484,19590424,   36,    0
   714, 43484,19590425,   59,    0
   714, 43484,19590426,   63,    0
   714, 43484,19590427,  101,    0
   714, 43484,19590428,  113,    0
   714, 43484,19590429,  118,    0
   714, 43484,19590430,  114,    0
   714, 43484,19590501,  117,    0
   714, 43484,19590502,  147,    0
   714, 43484,19590503,  136,    0
   714, 43484,19590504,  101,    0
   714, 43484,19590505,   91,    0
   714, 43484,19590506,   67,    0
   714, 43484,19590507,   39,    0
   714, 43484,19590508,   49,    0
   714, 43484,19590509,   68,    0
   714, 43484,19590510,   77,    0
   714, 43484,19590511,   93,    0
   714, 43484,19590512,  126,    0
   714, 43484,19590513,  142,    0
   714, 43484,19590514,  160,    0
   714, 43484,19590515,  142,    0
   714, 43484,19590516,  110,    0
   714, 43484,19590517,   58,    0
   714, 43484,19590518,   48,    0
   714, 43484,19590519,   63,    0
   714, 43484,19590520,   54,    0
   714, 43484,19590521,   41,    0
   714, 43484,19590522,   42,    0
   714, 43484,19590523,   66,    0
   714, 43484,19590524,   66,    0
   714, 43484,19590525,   58,    0
   714, 43484,19590526,   63,    0
   714, 43484,19590527,   57,    0
   714, 43484,19590528,   62,    0
   714, 43484,19590529,   56,    0
   714, 43484,19590530,   77,    0
   714, 43484,19590531,   94,    0
   714, 43484,19590601,   92,    0
   714, 43484,19590602,  101,    0
   714, 43484,19590603,  133,    0
   714, 43484,19590604,  166,    0
   714, 43484,19590605,  165,    0
   714, 43484,19590606,  171,    0
   714, 43484,19590607,  183,    0
   714, 43484,19590608,  198,    0
   714, 43484,19590609,  191,    0
   714, 43484,19590610,  157,    0
   714, 43484,19590611,  117,    0
   714, 43484,19590612,  169,    0
   714, 43484,19590613,  163,    0
   714, 43484,19590614,  102,    0
   714, 43484,19590615,   83,    0
   714, 43484,19590616,   91,    0
   714, 43484,19590617,  105,    0
   714, 43484,19590618,  129,    0
   714, 43484,19590619,  127,    0
   714, 43484,19590620,  105,    0
   714, 43484,19590621,  102,    0
   714, 43484,19590622,  123,    0
   714, 43484,19590623,  149,    0
   714, 43484,19590624,  175,    0
   714, 43484,19590625,  203,    0
   714, 43484,19590626,  182,    0
   714, 43484,19590627,  160,    0
   714, 43484,19590628,  127,    0
   714, 43484,19590629,  116,    0
   714, 43484,19590630,  143,    0
   714, 43484,19590701,  153,    0
   714, 43484,19590702,  161,    0
   714, 43484,19590703,  129,    0
   714, 43484,19590704,  154,    0
   714, 43484,19590705,  176,    0
   714, 43484,19590706,  211,    0
   714, 43484,19590707,  192,    0
   714, 43484,19590708,  176,    0
   714, 43484,19590709,  178,    0
   714, 43484,19590710,  171,    0
   714, 43484,19590711,  149,    0
   714, 43484,19590712,  150,    0
   714, 43484,19590713,  191,    0
   714, 43484,19590714,  153,    0
   714, 43484,19590715,  143,    0
   714, 43484,19590716,  138,    0
   714, 43484,19590717,  163,    0
   714, 43484,19590718,  174,    0
   714, 43484,19590719,  188,    0
   714, 43484,19590720,  194,    0
   714, 43484,19590721,  213,    0
   714, 43484,19590722,  175,    0
   714, 43484,19590723,  189,    0
   714, 43484,19590724,  207,    0
   714, 43484,19590725,  209,    0
   714, 43484,19590726,  187,    0
   714, 43484,19590727,  175,    0
   714, 43484,19590728,  178,    0
   714, 43484,19590729,  169,    0
   714, 43484,19590730,  128,    0
   714, 43484,19590731,  130,    0
   714, 43484,19590801,  166,    0
   714, 43484,19590802,  170,    0
   714, 43484,19590803,  188,    0
   714, 43484,19590804,  170,    0
   714, 43484,19590805,  159,    0
   714, 43484,19590806,  171,    0
   714, 43484,19590807,  162,    0
   714, 43484,19590808,  145,    0
   714, 43484,19590809,  121,    0
   714, 43484,19590810,  120,    0
   714, 43484,19590811,  133,    0
   714, 43484,19590812,  170,    0
   714, 43484,19590813,  177,    0
   714, 43484,19590814,  178,    0
   714, 43484,19590815,  188,    0
   714, 43484,19590816,  195,    0
   714, 43484,19590817,  186,    0
   714, 43484,19590818,  176,    0
   714, 43484,19590819,  171,    0
   714, 43484,19590820,  178,    0
   714, 43484,19590821,  171,    0
   714, 43484,19590822,  189,    0
   714, 43484,19590823,  202,    0
   714, 43484,19590824,  153,    0
   714, 43484,19590825,  127,    0
   714, 43484,19590826,  105,    0
   714, 43484,19590827,   62,    0
   714, 43484,19590828,   49,    0
   714, 43484,19590829,   93,    0
   714, 43484,19590830,   68,    0
   714, 43484,19590831,   73,    0
   714, 43484,19590901,  101,    0
   714, 43484,19590902,  117,    0
   714, 43484,19590903,   93,    0
   714, 43484,19590904,   93,    0
   714, 43484,19590905,  102,    0
   714, 43484,19590906,  114,    0
   714, 43484,19590907,  109,    0
   714, 43484,19590908,   84,    0
   714, 43484,19590909,   96,    0
   714, 43484,19590910,  115,    0
   714, 43484,19590911,  122,    0
   714, 43484,19590912,  124,    0
   714, 43484,19590913,   72,    0
   714, 43484,19590914,   79,    0
   714, 43484,19590915,   55,    0
   714, 43484,19590916,   39,    0
   714, 43484,19590917,   53,    0
   714, 43484,19590918,   66,    0
   714, 43484,19590919,   69,    0
   714, 43484,19590920,   58,    0
   714, 43484,19590921,   76,    0
   714, 43484,19590922,   50,    0
   714, 43484,19590923,   49,    0
   714, 43484,19590924,   42,    0
   714, 43484,19590925,   45,    0
   714, 43484,19590926,   22,    0
   714, 43484,19590927,   33,    0
   714, 43484,19590928,   45,    0
   714, 43484,19590929,   22,    0
   714, 43484,19590930,   55,    0
   714, 43484,19591001,   34,    0
   714, 43484,19591002,   19,    0
   714, 43484,19591003,   35,    0
   714, 43484,19591004,   77,    0
   714, 43484,19591005,  105,    0
   714, 43484,19591006,  101,    0
   714, 43484,19591007,   63,    0
   714, 43484,19591008,   12,    0
   714, 43484,19591009,   22,    0
   714, 43484,19591010,   41,    0
   714, 43484,19591011,   33,    0
   714, 43484,19591012,   27,    0
   714, 43484,19591013,   25,    0
   714, 43484,19591014,   16,    0
   714, 43484,19591015,   42,    0
   714, 43484,19591016,   76,    0
   714, 43484,19591017,   56,    0
   714, 43484,19591018,   46,    0
   714, 43484,19591019,   46,    0
   714, 43484,19591020,   49,    0
   714, 43484,19591021,   25,    0
   714, 43484,19591022,  -28,    0
   714, 43484,19591023,  -67,    0
   714, 43484,19591024,  -58,    0
   714, 43484,19591025,  -27,    0
   714, 43484,19591026,   -9,    0
   714, 43484,19591027,   38,    0
   714, 43484,19591028,   53,    0
   714, 43484,19591029,   59,    0
   714, 43484,19591030,   58,    0
   714, 43484,19591031,   66,    0
   714, 43484,19591101,   63,    0
   714, 43484,19591102,   43,    0
   714, 43484,19591103,   44,    0
   714, 43484,19591104,   50,    0
   714, 43484,19591105,   24,    0
   714, 43484,19591106,    2,    0
   714, 43484,19591107,  -13,    0
   714, 43484,19591108,  -16,    0
   714, 43484,19591109,   14,    0
   714, 43484,19591110,   30,    0
   714, 43484,19591111,   21,    0
   714, 43484,19591112,   18,    0
   714, 43484,19591113,   14,    0
   714, 43484,19591114,    8,    0
   714, 43484,19591115,  -12,    0
   714, 43484,19591116,  -44,    0
   714, 43484,19591117,  -51,    0
   714, 43484,19591118,  -39,    0
   714, 43484,19591119,  -24,    0
   714, 43484,19591120,  -10,    0
   714, 43484,19591121,   20,    0
   714, 43484,19591122,   19,    0
   714, 43484,19591123,  -41,    0
   714, 43484,19591124,  -71,    0
   714, 43484,19591125,  -60,    0
   714, 43484,19591126,  -33,    0
   714, 43484,19591127,   -6,    0
   714, 43484,19591128,    5,    1
   714, 43484,19591129,   14,    0
   714, 43484,19591130,   14,    0
   714, 43484,19591201,    0,    0
   714, 43484,19591202,   -5,    0
   714, 43484,19591203,  -25,    0
   714, 43484,19591204,  -90,    0
   714, 43484,19591205, -163,    0
   714, 43484,19591206, -182,    0
   714, 43484,19591207, -160,    0
   714, 43484,19591208, -135,    0
   714, 43484,19591209, -118,    0
   714, 43484,19591210, -111,    0
   714, 43484,19591211, -100,    0
   714, 43484,19591212, -130,    0
   714, 43484,19591213, -151,    0
   714, 43484,19591214, -103,    0
   714, 43484,19591215,  -75,    1
   714, 43484,19591216,  -53,    0
   714, 43484,19591217,  -39,    0
   714, 43484,19591218,  -21,    0
   714, 43484,19591219,    2,    0
   714, 43484,19591220,  -13,    0
   714, 43484,19591221,   -6,    0
   714, 43484,19591222,  -24,    0
   714, 43484,19591223,  -58,    0
   714, 43484,19591224,  -58,    0
   714, 43484,19591225,  -51,    0
   714, 43484,19591226,  -58,    0
   714, 43484,19591227,  -54,    0
   714, 43484,19591228,  -87,    0
   714, 43484,19591229,  -99,    0
   714, 43484,19591230,  -89,    0
   714, 43484,19591231, -123,    0
   714, 43484,19600101,  -39,    0
   714, 43484,19600102,  -11,    0
   714, 43484,19600103,  -11,    0
   714, 43484,19600104,  -16,    0
   714, 43484,19600105,   -6,    0
   714, 43484,19600106,  -17,    0
   714, 43484,19600107,  -95,    0
   714, 43484,19600108, -150,    0
   714, 43484,19600109, -170,    0
   714, 43484,19600110, -183,    0
   714, 43484,19600111, -167,    0
   714, 43484,19600112, -149,    0
   714, 43484,19600113, -185,    0
   714, 43484,19600114, -216,    0
   714, 43484,19600115, -163,    0
   714, 43484,19600116, -168,    0
   714, 43484,19600117, -145,    0
   714, 43484,19600118,  -94,    0
   714, 43484,19600119,  -86,    0
   714, 43484,19600120, -125,    0
   714, 43484,19600121, -138,    0
   714, 43484,19600122,  -92,    0
   714, 43484,19600123,  -24,    0
   714, 43484,19600124,    4,    0
   714, 43484,19600125,    5,    0
   714, 43484,19600126,  -17,    0
   714, 43484,19600127,  -93,    0
   714, 43484,19600128, -155,    0
   714, 43484,19600129, -182,    0
   714, 43484,19600130, -196,    0
   714, 43484,19600131, -181,    0
   714, 43484,19600201, -128,    0
   714, 43484,19600202, -142,    0
   714, 43484,19600203, -132,    0
   714, 43484,19600204,  -65,    0
   714, 43484,19600205,  -41,    0
   714, 43484,19600206,  -34,    0
   714, 43484,19600207,  -20,    0
   714, 43484,19600208,  -19,    0
   714, 43484,19600209,    8,    0
   714, 43484,19600210,  -51,    0
   714, 43484,19600211, -151,    0
   714, 43484,19600212, -174,    0
   714, 43484,19600213, -179,    0
   714, 43484,19600214, -187,    0
   714, 43484,19600215, -138,    0
   714, 43484,19600216,  -94,    0
   714, 43484,19600217,  -60,    0
   714, 43484,19600218,  -71,    0
   714, 43484,19600219,  -86,    0
   714, 43484,19600220,  -68,    0
   714, 43484,19600221,  -44,    0
   714, 43484,19600222, -108,    0
   714, 43484,19600223, -154,    0
   714, 43484,19600224, -123,    0
   714, 43484,19600225, -103,    0
   714, 43484,19600226, -114,    0
   714, 43484,19600227,  -95,    0
   714, 43484,19600228, -117,    0
   714, 43484,19600229, -165,    0
   714, 43484,19600301, -171,    0
   714, 43484,19600302, -120,    0
   714, 43484,19600303,  -94,    0
   714, 43484,19600304,  -68,    0
   714, 43484,19600305,  -59,    0
   714, 43484,19600306,  -55,    0
   714, 43484,19600307,  -40,    0
   714, 43484,19600308,  -39,    0
   714, 43484,19600309,  -54,    0
   714, 43484,19600310,  -61,    0
   714, 43484,19600311,  -70,    0
   714, 43484,19600312,  -61,    0
   714, 43484,19600313,  -36,    0
   714, 43484,19600314,  -15,    0
   714, 43484,19600315,  -46,    0
   714, 43484,19600316,  -57,    0
   714, 43484,19600317,  -62,    0
   714, 43484,19600318,  -38,    0
   714, 43484,19600319,  -51,    0
   714, 43484,19600320,  -25,    0
   714, 43484,19600321,    0,    0
   714, 43484,19600322,    4,    0
   714, 43484,19600323,   16,    0
   714, 43484,19600324,   -1,    0
   714, 43484,19600325,    0,    0
   714, 43484,19600326,   -8,    0
   714, 43484,19600327,  -19,    0
   714, 43484,19600328,  -14,    0
   714, 43484,19600329,  -12,    0
   714, 43484,19600330,  -30,    0
   714, 43484,19600331,  -46,    0
   714, 43484,19600401,  -80,    0
   714, 43484,19600402,  -62,    0
   714, 43484,19600403,  -62,    0
   714, 43484,19600404,  -60,    0
   714, 43484,19600405,  -24,    0
   714, 43484,19600406,    7,    0
   714, 43484,19600407,   33,    0
   714, 43484,19600408,   28,    0
   714, 43484,19600409,   13,    0
   714, 43484,19600410,   31,    0
   714, 43484,19600411,   12,    0
   714, 43484,19600412,   21,    0
   714, 43484,19600413,   14,    0
   714, 43484,19600414,   45,    0
   714, 43484,19600415,   38,    0
   714, 43484,19600416,   21,    0
   714, 43484,19600417,   25,    0
   714, 43484,19600418,   50,    0
   714, 43484,19600419,   37,    0
   714, 43484,19600420,   56,    0
   714, 43484,19600421,   71,    0
   714, 43484,19600422,   44,    0
   714, 43484,19600423,   15,    0
   714, 43484,19600424,   17,    0
   714, 43484,19600425,   13,    0
   714, 43484,19600426,    6,    0
   714, 43484,19600427,   -2,    0
   714, 43484,19600428,   50,    0
   714, 43484,19600429,   31,    0
   714, 43484,19600430,   44,    0
   714, 43484,19600501,   50,    0
   714, 43484,19600502,   53,    0
   714, 43484,19600503,   28,    0
   714, 43484,19600504,   30,    0
   714, 43484,19600505,   40,    0
   714, 43484,19600506,   33,    0
   714, 43484,19600507,   56,    0
   714, 43484,19600508,   54,    0
   714, 43484,19600509,  101,    0
   714, 43484,19600510,  113,    0
   714, 43484,19600511,  116,    0
   714, 43484,19600512,  117,    0
   714, 43484,19600513,   95,    0
   714, 43484,19600514,   92,    0
   714, 43484,19600515,  115,    0
   714, 43484,19600516,  116,    0
   714, 43484,19600517,  130,    0
   714, 43484,19600518,  124,    0
   714, 43484,19600519,  107,    0
   714, 43484,19600520,   66,    0
   714, 43484,19600521,   27,    0
   714, 43484,19600522,   58,    0
   714, 43484,19600523,  101,    0
   714, 43484,19600524,  135,    0
   714, 43484,19600525,  136,    0
   714, 43484,19600526,  139,    0
   714, 43484,19600527,  156,    0
   714, 43484,19600528,  179,    0
   714, 43484,19600529,  195,    0
   714, 43484,19600530,  209,    0
   714, 43484,19600531,  201,    0
   714, 43484,19600601,  181,    0
   714, 43484,19600602,  127,    0
   714, 43484,19600603,  130,    0
   714, 43484,19600604,  160,    0
   714, 43484,19600605,  173,    0
   714, 43484,19600606,  183,    0
   714, 43484,19600607,  184,    0
   714, 43484,19600608,  168,    0
   714, 43484,19600609,  119,    0
   714, 43484,19600610,  136,    0
   714, 43484,19600611,  156,    0
   714, 43484,19600612,  131,    0
   714, 43484,19600613,  132,    0
   714, 43484,19600614,  145,    0
   714, 43484,19600615,  147,    0
   714, 43484,19600616,  137,    0
   714, 43484,19600617,  137,    0
   714, 43484,19600618,  131,    0
   714, 43484,19600619,  125,    0
   714, 43484,19600620,  117,    0
   714, 43484,19600621,  142,    0
   714, 43484,19600622,  134,    0
   714, 43484,19600623,  155,    0
   714, 43484,19600624,  180,    0
   714, 43484,19600625,  191,    0
   714, 43484,19600626,  159,    0
   714, 43484,19600627,  147,    0
   714, 43484,19600628,  140,    0
   714, 43484,19600629,  139,    0
   714, 43484,19600630,  133,    0
   714, 43484,19600701,  143,    0
   714, 43484,19600702,  131,    0
   714, 43484,19600703,  175,    0
   714, 43484,19600704,  144,    0
   714, 43484,19600705,  152,    0
   714, 43484,19600706,  160,    0
   714, 43484,19600707,  158,    0
   714, 43484,19600708,  158,    0
   714, 43484,19600709,  164,    0
   714, 43484,19600710,  194,    0
   714, 43484,19600711,  174,    0
   714, 43484,19600712,  166,    0
   714, 43484,19600713,  177,    0
   714, 43484,19600714,  171,    0
   714, 43484,19600715,  173,    0
   714, 43484,19600716,  190,    0
   714, 43484,19600717,  205,    0
   714, 43484,19600718,  175,    0
   714, 43484,19600719,  162,    0
   714, 43484,19600720,  153,    0
   714, 43484,19600721,  153,    0
   714, 43484,19600722,  147,    0
   714, 43484,19600723,  125,    0
   714, 43484,19600724,  136,    0
   714, 43484,19600725,  174,    0
   714, 43484,19600726,  195,    0
   714, 43484,19600727,  224,    0
   714, 43484,19600728,  242,    0
   714, 43484,19600729,  198,    0
   714, 43484,19600730,  170,    0
   714, 43484,19600731,  173,    0
   714, 43484,19600801,  168,    0
   714, 43484,19600802,  175,    0
   714, 43484,19600803,  136,    0
   714, 43484,19600804,  107,    0
   714, 43484,19600805,  126,    0
   714, 43484,19600806,  142,    0
   714, 43484,19600807,  148,    0
   714, 43484,19600808,  173,    0
   714, 43484,19600809,  174,    0
   714, 43484,19600810,  164,    0
   714, 43484,19600811,  149,    0
   714, 43484,19600812,  145,    0
   714, 43484,19600813,  159,    0
   714, 43484,19600814,  183,    0
   714, 43484,19600815,  172,    0
   714, 43484,19600816,  146,    0
   714, 43484,19600817,  153,    0
   714, 43484,19600818,  120,    0
   714, 43484,19600819,  112,    0
   714, 43484,19600820,  139,    0
   714, 43484,19600821,  139,    0
   714, 43484,19600822,  129,    0
   714, 43484,19600823,  131,    0
   714, 43484,19600824,  148,    0
   714, 43484,19600825,  135,    0
   714, 43484,19600826,  124,    0
   714, 43484,19600827,  141,    0
   714, 43484,19600828,  122,    0
   714, 43484,19600829,  107,    0
   714, 43484,19600830,   90,    0
   714, 43484,19600831,   73,    0
   714, 43484,19600901,   90,    0
   714, 43484,19600902,  101,    0
   714, 43484,19600903,   90,    0
   714, 43484,19600904,   92,    0
   714, 43484,19600905,   89,    0
   714, 43484,19600906,   86,    0
   714, 43484,19600907,   78,    0
   714, 43484,19600908,   91,    0
   714, 43484,19600909,   68,    0
   714, 43484,19600910,   70,    0
   714, 43484,19600911,   91,    0
   714, 43484,19600912,  112,    0
   714, 43484,19600913,  128,    0
   714, 43484,19600914,  124,    0
   714, 43484,19600915,  123,    0
   714, 43484,19600916,  105,    0
   714, 43484,19600917,  106,    0
   714, 43484,19600918,  113,    0
   714, 43484,19600919,  106,    0
   714, 43484,19600920,   99,    0
   714, 43484,19600921,  107,    0
   714, 43484,19600922,  120,    0
   714, 43484,19600923,  111,    0
   714, 43484,19600924,  106,    0
   714, 43484,19600925,   96,    0
   714, 43484,19600926,   78,    0
   714, 43484,19600927,   63,    0
   714, 43484,19600928,   37,    0
   714, 43484,19600929,   23,    0
   714, 43484,19600930,   14,    0
   714, 43484,19601001,   32,    0
   714, 43484,19601002,   28,    0
   714, 43484,19601003,   46,    0
   714, 43484,19601004,   61,    0
   714, 43484,19601005,   41,    0
   714, 43484,19601006,   24,    0
   714, 43484,19601007,   28,    0
   714, 43484,19601008,   25,    0
   714, 43484,19601009,   36,    0
   714, 43484,19601010,   36,    0
   714, 43484,19601011,   51,    0
   714, 43484,19601012,   66,    0
   714, 43484,19601013,   28,    0
   714, 43484,19601014,    1,    0
   714, 43484,19601015,   -6,    0
   714, 43484,19601016,   10,    0
   714, 43484,19601017,   29,    0
   714, 43484,19601018,    8,    0
   714, 43484,19601019,   -8,    0
   714, 43484,19601020,    9,    0
   714, 43484,19601021,   11,    0
   714, 43484,19601022,  -10,    0
   714, 43484,19601023,  -31,    0
   714, 43484,19601024,  -32,    0
   714, 43484,19601025,  -10,    0
   714, 43484,19601026,    0,    0
   714, 43484,19601027,   -8,    0
   714, 43484,19601028,  -16,    0
   714, 43484,19601029,  -20,    0
   714, 43484,19601030,  -34,    0
   714, 43484,19601031,  -66,    0
   714, 43484,19601101,  -98,    0
   714, 43484,19601102,  -45,    0
   714, 43484,19601103,   20,    0
   714, 43484,19601104,   52,    0
   714, 43484,19601105,   62,    0
   714, 43484,19601106,   48,    0
   714, 43484,19601107,    9,    0
   714, 43484,19601108,   -6,    0
   714, 43484,19601109,    8,    0
   714, 43484,19601110,    9,    0
   714, 43484,19601111,   -6,    0
   714, 43484,19601112,  -17,    0
   714, 43484,19601113,  -42,    0
   714, 43484,19601114,  -50,    0
   714, 43484,19601115,  -34,    0
   714, 43484,19601116,  -32,    0
   714, 43484,19601117,  -37,    0
   714, 43484,19601118,  -65,    0
   714, 43484,19601119,  -87,    0
   714, 43484,19601120,  -88,    0
   714, 43484,19601121,  -96,    0
   714, 43484,19601122,  -80,    0
   714, 43484,19601123,  -48,    0
   714, 43484,19601124,  -11,    0
   714, 43484,19601125,    8,    0
   714, 43484,19601126,   10,    0
   714, 43484,19601127,   10,    0
   714, 43484,19601128,   -1,    0
   714, 43484,19601129,  -40,    0
   714, 43484,19601130,  -90,    0
   714, 43484,19601201,  -15,    0
   714, 43484,19601202,   33,    0
   714, 43484,19601203,   27,    0
   714, 43484,19601204,   15,    0
   714, 43484,19601205,   -2,    0
   714, 43484,19601206,  -41,    0
   714, 43484,19601207, -100,    0
   714, 43484,19601208,  -95,    0
   714, 43484,19601209,  -69,    0
   714, 43484,19601210,  -81,    0
   714, 43484,19601211,  -82,    0
   714, 43484,19601212,  -37,    0
   714, 43484,19601213,  -15,    0
   714, 43484,19601214,  -18,    0
   714, 43484,19601215,  -23,    0
   714, 43484,19601216,  -13,    0
   714, 43484,19601217,    7,    0
   714, 43484,19601218,  -10,    0
   714, 43484,19601219,  -23,    0
   714, 43484,19601220,  -12,    0
   714, 43484,19601221,  -39,    0
   714, 43484,19601222,  -83,    0
   714, 43484,19601223,  -56,    0
   714, 43484,19601224,  -25,    0
   714, 43484,19601225,  -15,    0
   714, 43484,19601226,    0,    0
   714, 43484,19601227,   -3,    0
   714, 43484,19601228,   -4,    0
   714, 43484,19601229,  -15,    0
   714, 43484,19601230,  -33,    0
   714, 43484,19601231,  -36,    0
   714, 43484,19610101,  -49,    0
   714, 43484,19610102,  -33,    0
   714, 43484,19610103,  -15,    0
   714, 43484,19610104,  -22,    0
   714, 43484,19610105,   -8,    0
   714, 43484,19610106,  -22,    0
   714, 43484,19610107,  -21,    0
   714, 43484,19610108,  -40,    0
   714, 43484,19610109,  -84,    0
   714, 43484,19610110,  -68,    0
   714, 43484,19610111,  -47,    0
   714, 43484,19610112,  -57,    0
   714, 43484,19610113,  -18,    0
   714, 43484,19610114,  -10,    0
   714, 43484,19610115,  -31,    0
   714, 43484,19610116, -141,    0
   714, 43484,19610117, -143,    0
   714, 43484,19610118,  -46,    0
   714, 43484,19610119,  -33,    0
   714, 43484,19610120,  -63,    0
   714, 43484,19610121,  -87,    0
   714, 43484,19610122, -104,    0
   714, 43484,19610123, -118,    0
   714, 43484,19610124, -135,    0
   714, 43484,19610125, -129,    0
   714, 43484,19610126,  -64,    0
   714, 43484,19610127,  -38,    0
   714, 43484,19610128,  -26,    0
   714, 43484,19610129,  -11,    0
   714, 43484,19610130,   -8,    0
   714, 43484,19610131,  -46,    0
   714, 43484,19610201,  -56,    0
   714, 43484,19610202,  -25,    0
   714, 43484,19610203,  -11,    0
   714, 43484,19610204,  -35,    0
   714, 43484,19610205, -103,    0
   714, 43484,19610206, -101,    0
   714, 43484,19610207,  -16,    0
   714, 43484,19610208,  -43,    0
   714, 43484,19610209,  -68,    0
   714, 43484,19610210,  -55,    1
   714, 43484,19610211,  -19,    0
   714, 43484,19610212,  -33,    0
   714, 43484,19610213,  -45,    0
   714, 43484,19610214,    0,    0
   714, 43484,19610215,   -6,    0
   714, 43484,19610216,   -6,    0
   714, 43484,19610217,   15,    0
   714, 43484,19610218,    9,    0
   714, 43484,19610219,  -24,    0
